Type,Name,Length,Width,Quantity,Notes,Can Rotate (https://feature-panel-rotation.maxcutsoftware.com),Material,Edging Length 1,Edging Length 2,Edging Width 1,Edging Width 2,Include Edging Thickness,Note 1,Note 2,Note 3,Note 4,Group,Report Tags,Import ID,Parent ID,Library Item Name,Holes Length 1,Holes Length 2,Holes Width 1,Holes Width 2,Grooving Length 1,Grooving Length 2,Grooving Width 1,Grooving Width 2,Material Tag,Edging Length 1 Tag,Edging Length 2 Tag,Edging Width 1 Tag,Edging Width 2 Tag,Apply Machining Charge,Long Expansion,Short Expansion,Include in Optimization
,KBR W2  RS,867,513,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  D SIDE-G,450,120,2,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2 D FRONT-G,683,90,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2 D BACK-G,683,120,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2 D 6MM BACK,429,700,1,,,6MR FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2 D FACIA,747,144,1,,,16MR FABRIC+FABRIC,2MM FABRIC,2MM FABRIC,2MM FABRIC,2MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  D DUMMY,148,493,2,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  D DUMMY,148,58,4,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  DOOR,1986,444,3,,,16HD 269 SMT+FABRIC CNC,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR LOFT FILLER,2398,120,1,,,16MR 269 SMT+FABRIC,0.8MM 269 SMT,0.8MM 269 SMT,0.8MM 269 SMT,0.8MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR LOFT FILLER,2398,75,1,,,16MR 269 SMT+FABRIC,0.8MM 269 SMT,0.8MM 269 SMT,0.8MM 269 SMT,0.8MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  SKT,2398,108,1,,,16MR 269 SMT+FABRIC,0.8MM 269 SMT,0.8MM 269 SMT,0.8MM 269 SMT,0.8MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  LOFT SIDE,700,578,1,,,16MR 269 SMT+FABRIC,0.8MM 269 SMT,0.8MM 269 SMT,0.8MM 269 SMT,0.8MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  LOFT PATTA,700,100,4,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
